Month,3_days_SR(%),4_days_SR(%)
Sep-20,26.666666666666668,40.0
Oct-20,74.19354838709677,87.09677419354838
Nov-20,60.0,70.0
Dec-20,77.41935483870968,83.87096774193549
Jan-21,67.74193548387096,80.64516129032258
Feb-21,50.0,67.85714285714286
Mar-21,35.483870967741936,54.83870967741935
