Month,6_days_SR(%),7_days_SR(%)
Aug-17,48.38709677419355,67.74193548387096
Sep-17,20.0,30.0
Oct-17,38.70967741935484,58.064516129032256
Nov-17,10.0,26.666666666666668
Dec-17,16.129032258064516,25.806451612903224
Jan-18,32.25806451612903,41.935483870967744
Feb-18,7.142857142857143,7.142857142857143
Mar-18,3.225806451612903,3.225806451612903
Apr-18,23.333333333333332,36.666666666666664
May-18,48.38709677419355,58.064516129032256
Jun-18,46.666666666666664,60.0
Jul-18,41.935483870967744,61.29032258064516
Aug-18,29.032258064516128,48.38709677419355
Sep-18,53.333333333333336,86.66666666666667
Oct-18,48.38709677419355,61.29032258064516
Nov-18,6.666666666666667,30.0
Dec-18,25.806451612903224,41.935483870967744
Jan-19,61.29032258064516,70.96774193548387
Feb-19,53.57142857142857,75.0
Mar-19,61.29032258064516,70.96774193548387
Apr-19,40.0,53.333333333333336
May-19,74.19354838709677,87.09677419354838
Jun-19,40.0,53.333333333333336
Jul-19,61.29032258064516,77.41935483870968
Aug-19,61.29032258064516,70.96774193548387
Sep-19,16.666666666666668,23.333333333333332
Oct-19,19.35483870967742,25.806451612903224
Nov-19,50.0,70.0
Dec-19,3.225806451612903,3.225806451612903
Jan-20,67.74193548387096,77.41935483870968
Feb-20,72.41379310344827,86.20689655172414
Mar-20,38.70967741935484,54.83870967741935
Apr-20,23.333333333333332,30.0
May-20,38.70967741935484,54.83870967741935
Jun-20,66.66666666666667,73.33333333333333
Jul-20,45.16129032258065,64.51612903225806
Aug-20,6.451612903225806,22.580645161290324
