Month,3_days_SR(%),4_days_SR(%)
Aug-17,54.83870967741935,74.19354838709677
Sep-17,16.666666666666668,43.333333333333336
Oct-17,48.38709677419355,64.51612903225806
Nov-17,3.3333333333333335,33.333333333333336
Dec-17,35.483870967741936,54.83870967741935
Jan-18,45.16129032258065,51.61290322580645
Feb-18,17.857142857142858,17.857142857142858
Mar-18,3.225806451612903,6.451612903225806
Apr-18,16.666666666666668,26.666666666666668
May-18,70.96774193548387,77.41935483870968
Jun-18,63.333333333333336,80.0
Jul-18,70.96774193548387,83.87096774193549
Aug-18,61.29032258064516,67.74193548387096
Sep-18,70.0,86.66666666666667
Oct-18,74.19354838709677,80.64516129032258
Nov-18,20.0,33.333333333333336
Dec-18,45.16129032258065,54.83870967741935
Jan-19,87.09677419354838,90.3225806451613
Feb-19,75.0,82.14285714285714
Mar-19,74.19354838709677,87.09677419354838
Apr-19,53.333333333333336,70.0
May-19,67.74193548387096,83.87096774193549
Jun-19,70.0,86.66666666666667
Jul-19,67.74193548387096,80.64516129032258
Aug-19,58.064516129032256,70.96774193548387
Sep-19,36.666666666666664,43.333333333333336
Oct-19,12.903225806451612,29.032258064516128
Nov-19,73.33333333333333,83.33333333333333
Dec-19,3.225806451612903,9.67741935483871
Jan-20,70.96774193548387,74.19354838709677
Feb-20,79.3103448275862,93.10344827586206
Mar-20,58.064516129032256,64.51612903225806
Apr-20,36.666666666666664,50.0
May-20,41.935483870967744,54.83870967741935
Jun-20,80.0,90.0
Jul-20,74.19354838709677,90.3225806451613
Aug-20,29.032258064516128,38.70967741935484
