Month,3_days_SR(%),4_days_SR(%)
Aug-17,51.61290322580645,70.96774193548387
Sep-17,30.0,53.333333333333336
Oct-17,35.483870967741936,54.83870967741935
Nov-17,13.333333333333334,30.0
Dec-17,25.806451612903224,54.83870967741935
Jan-18,32.25806451612903,45.16129032258065
Feb-18,10.714285714285714,32.142857142857146
Mar-18,22.580645161290324,32.25806451612903
Apr-18,26.666666666666668,30.0
May-18,67.74193548387096,83.87096774193549
Jun-18,60.0,70.0
Jul-18,51.61290322580645,67.74193548387096
Aug-18,19.35483870967742,54.83870967741935
Sep-18,73.33333333333333,90.0
Oct-18,61.29032258064516,67.74193548387096
Nov-18,10.0,36.666666666666664
Dec-18,32.25806451612903,48.38709677419355
Jan-19,87.09677419354838,90.3225806451613
Feb-19,67.85714285714286,78.57142857142857
Mar-19,74.19354838709677,83.87096774193549
Apr-19,63.333333333333336,76.66666666666667
May-19,83.87096774193549,90.3225806451613
Jun-19,36.666666666666664,53.333333333333336
Jul-19,58.064516129032256,77.41935483870968
Aug-19,61.29032258064516,74.19354838709677
Sep-19,36.666666666666664,46.666666666666664
Oct-19,12.903225806451612,32.25806451612903
Nov-19,86.66666666666667,96.66666666666667
Dec-19,6.451612903225806,9.67741935483871
Jan-20,54.83870967741935,67.74193548387096
Feb-20,75.86206896551724,86.20689655172414
Mar-20,61.29032258064516,74.19354838709677
Apr-20,23.333333333333332,33.333333333333336
May-20,41.935483870967744,51.61290322580645
Jun-20,73.33333333333333,83.33333333333333
Jul-20,54.83870967741935,70.96774193548387
Aug-20,45.16129032258065,67.74193548387096
